,ZAI,Reaction MT,Extrapolation Size [d],Previous Steps,Extrapolation Scheme,Absolute Relative Error [%],Axial Node,ZAI Reaction,Step size $[d]$
1771,541350,102,25.0,3,linear,1.3787759068869088,6,"Xe135 $(n, \gamma )$",25
1772,541350,102,25.0,3,quadratic,1.6399604618332564,6,"Xe135 $(n, \gamma )$",25
1773,641550,102,25.0,3,constant,7.006252043830807,6,"Gd155 $(n, \gamma )$",25
1774,641550,102,25.0,3,linear,1.337604954942273,6,"Gd155 $(n, \gamma )$",25
1775,641550,102,25.0,3,quadratic,0.8139076607140083,6,"Gd155 $(n, \gamma )$",25
1784,541350,102,25.0,1,constant,6.125808913217168,7,"Xe135 $(n, \gamma )$",25
1785,541350,102,25.0,1,linear,0.7006074735469658,7,"Xe135 $(n, \gamma )$",25
1786,641550,102,25.0,1,constant,5.639166973582865,7,"Gd155 $(n, \gamma )$",25
1787,641550,102,25.0,1,linear,0.66126494123947,7,"Gd155 $(n, \gamma )$",25
1800,541350,102,25.0,2,constant,6.962411948381786,7,"Xe135 $(n, \gamma )$",25
1801,541350,102,25.0,2,linear,0.7287253263742133,7,"Xe135 $(n, \gamma )$",25
1802,541350,102,25.0,2,quadratic,1.8137774427312792,7,"Xe135 $(n, \gamma )$",25
1803,641550,102,25.0,2,constant,6.411200767848602,7,"Gd155 $(n, \gamma )$",25
1804,641550,102,25.0,2,linear,0.6870423033152662,7,"Gd155 $(n, \gamma )$",25
1805,641550,102,25.0,2,quadratic,1.6438260905387914,7,"Gd155 $(n, \gamma )$",25
1818,541350,102,25.0,3,constant,7.436744037926535,7,"Xe135 $(n, \gamma )$",25
1819,541350,102,25.0,3,linear,0.7555440361748045,7,"Xe135 $(n, \gamma )$",25
1820,541350,102,25.0,3,quadratic,1.473338789106582,7,"Xe135 $(n, \gamma )$",25
1821,641550,102,25.0,3,constant,6.8513465251504035,7,"Gd155 $(n, \gamma )$",25
1822,641550,102,25.0,3,linear,0.7156541786246695,7,"Gd155 $(n, \gamma )$",25
1823,641550,102,25.0,3,quadratic,1.5689816852408,7,"Gd155 $(n, \gamma )$",25
1832,541350,102,25.0,1,constant,5.591807087157741,8,"Xe135 $(n, \gamma )$",25
1833,541350,102,25.0,1,linear,0.15127594052217752,8,"Xe135 $(n, \gamma )$",25
1834,641550,102,25.0,1,constant,5.2036148548639805,8,"Gd155 $(n, \gamma )$",25
1835,641550,102,25.0,1,linear,0.1776149330592891,8,"Gd155 $(n, \gamma )$",25
1848,541350,102,25.0,2,constant,6.308366800133691,8,"Xe135 $(n, \gamma )$",25
1849,541350,102,25.0,2,linear,0.19545295609363356,8,"Xe135 $(n, \gamma )$",25
1850,541350,102,25.0,2,quadratic,3.799168721160484,8,"Xe135 $(n, \gamma )$",25
1851,641550,102,25.0,2,constant,5.869484674661218,8,"Gd155 $(n, \gamma )$",25
1852,641550,102,25.0,2,linear,0.21007016732758066,8,"Gd155 $(n, \gamma )$",25
1853,641550,102,25.0,2,quadratic,2.724631977474612,8,"Gd155 $(n, \gamma )$",25
1866,541350,102,25.0,3,constant,6.706116470468171,8,"Xe135 $(n, \gamma )$",25
1867,541350,102,25.0,3,linear,0.21268299476125962,8,"Xe135 $(n, \gamma )$",25
1868,541350,102,25.0,3,quadratic,1.7963879757150858,8,"Xe135 $(n, \gamma )$",25
1869,641550,102,25.0,3,constant,6.2383056205631116,8,"Gd155 $(n, \gamma )$",25
1870,641550,102,25.0,3,linear,0.22133667993524675,8,"Gd155 $(n, \gamma )$",25
1871,641550,102,25.0,3,quadratic,1.1712342700335165,8,"Gd155 $(n, \gamma )$",25
1880,541350,102,25.0,1,constant,4.067691666714879,9,"Xe135 $(n, \gamma )$",25
1881,541350,102,25.0,1,linear,0.2528744943956829,9,"Xe135 $(n, \gamma )$",25
1882,641550,102,25.0,1,constant,3.8353990326480902,9,"Gd155 $(n, \gamma )$",25
1883,641550,102,25.0,1,linear,0.27260753152531514,9,"Gd155 $(n, \gamma )$",25
1896,541350,102,25.0,2,constant,4.55270533273926,9,"Xe135 $(n, \gamma )$",25
1897,541350,102,25.0,2,linear,0.208946098676277,9,"Xe135 $(n, \gamma )$",25
1898,541350,102,25.0,2,quadratic,4.181086803921108,9,"Xe135 $(n, \gamma )$",25
1899,641550,102,25.0,2,constant,4.307378937064565,9,"Gd155 $(n, \gamma )$",25
1900,641550,102,25.0,2,linear,0.20092216978064847,9,"Gd155 $(n, \gamma )$",25
1901,641550,102,25.0,2,quadratic,6.682933149076975,9,"Gd155 $(n, \gamma )$",25
1914,541350,102,25.0,3,constant,4.825881154774225,9,"Xe135 $(n, \gamma )$",25
1915,541350,102,25.0,3,linear,0.18522298146701477,9,"Xe135 $(n, \gamma )$",25
1916,541350,102,25.0,3,quadratic,2.5779825446178517,9,"Xe135 $(n, \gamma )$",25
1917,641550,102,25.0,3,constant,4.561857617896026,9,"Gd155 $(n, \gamma )$",25
1918,641550,102,25.0,3,linear,0.18461843832935365,9,"Gd155 $(n, \gamma )$",25
1919,641550,102,25.0,3,quadratic,2.7461164153398387,9,"Gd155 $(n, \gamma )$",25
