,ZAI,Reaction MT,Extrapolation Size [d],Previous Steps,Extrapolation Scheme,Absolute Relative Error [%],Axial Node,ZAI Reaction,Step size $[d]$
298,641550,102,1.0,1,constant,0.22986652731993296,6,"Gd155 $(n, \gamma )$",1
299,641550,102,1.0,1,linear,0.30963882882032445,6,"Gd155 $(n, \gamma )$",1
312,541350,102,1.0,2,constant,0.23773166861285056,6,"Xe135 $(n, \gamma )$",1
313,541350,102,1.0,2,linear,0.1101829396088938,6,"Xe135 $(n, \gamma )$",1
314,541350,102,1.0,2,quadratic,0.8209826641517592,6,"Xe135 $(n, \gamma )$",1
315,641550,102,1.0,2,constant,0.22995917807662192,6,"Gd155 $(n, \gamma )$",1
316,641550,102,1.0,2,linear,0.0498461070931322,6,"Gd155 $(n, \gamma )$",1
317,641550,102,1.0,2,quadratic,0.8488662326915031,6,"Gd155 $(n, \gamma )$",1
330,541350,102,1.0,3,constant,0.35465133686636285,6,"Xe135 $(n, \gamma )$",1
331,541350,102,1.0,3,linear,0.05988203239621903,6,"Xe135 $(n, \gamma )$",1
332,541350,102,1.0,3,quadratic,0.13248899667595015,6,"Xe135 $(n, \gamma )$",1
333,641550,102,1.0,3,constant,0.3684257339329644,6,"Gd155 $(n, \gamma )$",1
334,641550,102,1.0,3,linear,0.13703046912787453,6,"Gd155 $(n, \gamma )$",1
335,641550,102,1.0,3,quadratic,0.1054828864780255,6,"Gd155 $(n, \gamma )$",1
344,541350,102,1.0,1,constant,0.16747996867279014,7,"Xe135 $(n, \gamma )$",1
345,541350,102,1.0,1,linear,0.016868486053389642,7,"Xe135 $(n, \gamma )$",1
346,641550,102,1.0,1,constant,0.1300241033929117,7,"Gd155 $(n, \gamma )$",1
347,641550,102,1.0,1,linear,0.11911885601160188,7,"Gd155 $(n, \gamma )$",1
360,541350,102,1.0,2,constant,0.22651966985962613,7,"Xe135 $(n, \gamma )$",1
361,541350,102,1.0,2,linear,0.012048918609608439,7,"Xe135 $(n, \gamma )$",1
362,541350,102,1.0,2,quadratic,0.024097837219105855,7,"Xe135 $(n, \gamma )$",1
363,641550,102,1.0,2,constant,0.14092935077427704,7,"Gd155 $(n, \gamma )$",1
364,641550,102,1.0,2,linear,0.02516595549537648,7,"Gd155 $(n, \gamma )$",1
365,641550,102,1.0,2,quadratic,0.33554607327238584,7,"Gd155 $(n, \gamma )$",1
378,541350,102,1.0,3,constant,0.26191336827519063,7,"Xe135 $(n, \gamma )$",1
379,541350,102,1.0,3,linear,0.036447978793896496,7,"Xe135 $(n, \gamma )$",1
380,541350,102,1.0,3,quadratic,0.0878064943671153,7,"Xe135 $(n, \gamma )$",1
381,641550,102,1.0,3,constant,0.1761616884678352,7,"Gd155 $(n, \gamma )$",1
382,641550,102,1.0,3,linear,0.012582977747666035,7,"Gd155 $(n, \gamma )$",1
383,641550,102,1.0,3,quadratic,0.046137585074979004,7,"Gd155 $(n, \gamma )$",1
392,541350,102,1.0,1,constant,0.2021798168665434,8,"Xe135 $(n, \gamma )$",1
393,541350,102,1.0,1,linear,0.1033430267490365,8,"Xe135 $(n, \gamma )$",1
394,641550,102,1.0,1,constant,0.14728487185937666,8,"Gd155 $(n, \gamma )$",1
395,641550,102,1.0,1,linear,0.03577317570775396,8,"Gd155 $(n, \gamma )$",1
408,541350,102,1.0,2,constant,0.16963477452796027,8,"Xe135 $(n, \gamma )$",1
409,541350,102,1.0,2,linear,0.1654289536718423,8,"Xe135 $(n, \gamma )$",1
410,541350,102,1.0,2,quadratic,0.5065009973800993,8,"Xe135 $(n, \gamma )$",1
411,641550,102,1.0,2,constant,0.11085958096943571,8,"Gd155 $(n, \gamma )$",1
412,641550,102,1.0,2,linear,0.18296488825537693,8,"Gd155 $(n, \gamma )$",1
413,641550,102,1.0,2,quadratic,0.18501439311372492,8,"Gd155 $(n, \gamma )$",1
426,541350,102,1.0,3,constant,0.23522555216419772,8,"Xe135 $(n, \gamma )$",1
427,541350,102,1.0,3,linear,0.036350308827381994,8,"Xe135 $(n, \gamma )$",1
428,541350,102,1.0,3,quadratic,0.1910644331749367,8,"Xe135 $(n, \gamma )$",1
429,641550,102,1.0,3,constant,0.1844554372432361,8,"Gd155 $(n, \gamma )$",1
430,641550,102,1.0,3,linear,0.00027947793526106324,8,"Gd155 $(n, \gamma )$",1
431,641550,102,1.0,3,quadratic,0.36583661719842286,8,"Gd155 $(n, \gamma )$",1
440,541350,102,1.0,1,constant,0.06458227144248152,9,"Xe135 $(n, \gamma )$",1
441,541350,102,1.0,1,linear,0.07413928918955648,9,"Xe135 $(n, \gamma )$",1
442,641550,102,1.0,1,constant,0.15949739397478346,9,"Gd155 $(n, \gamma )$",1
443,641550,102,1.0,1,linear,0.21788966024349765,9,"Gd155 $(n, \gamma )$",1
456,541350,102,1.0,2,constant,0.04614398467790437,9,"Xe135 $(n, \gamma )$",1
457,541350,102,1.0,2,linear,0.10464451755398674,9,"Xe135 $(n, \gamma )$",1
458,541350,102,1.0,2,quadratic,0.028381446642877783,9,"Xe135 $(n, \gamma )$",1
